"","contrast","plant","amendment","time_fct","estimate","SE","df","t.ratio","p.value"
"1","ambient - elevated","INSP","ctrl","4",-0.348686722292733,0.271308304705698,26.2278537240368,-1.28520475136569,0.209954416632333
"2","ambient - elevated","LATR","ctrl","4",0.813880907824409,0.289187242606014,30.8777954679257,2.81437348511681,0.0084303313946683
"3","ambient - elevated","INSP","glu","4",-0.160006106193497,0.271308304705696,26.2278537240349,-0.589757495138474,0.560400065522145
"4","ambient - elevated","LATR","glu","4",0.203779333695257,0.289187242606013,30.8777954679247,0.704662252244942,0.486301862256994
"5","ambient - elevated","INSP","ctrl","8",-0.136876212968552,0.271308304705696,26.2278537240349,-0.504504324395927,0.61811946165106
"6","ambient - elevated","LATR","ctrl","8",0.406108241966936,0.289187242606013,30.8777954679251,1.40430898094704,0.170206243672019
"7","ambient - elevated","INSP","glu","8",-0.167929192635776,0.271308304705696,26.2278537240348,-0.618960753221095,0.541281543805929
"8","ambient - elevated","LATR","glu","8",0.0807166440583472,0.289187242606013,30.8777954679249,0.279115507762267,0.782017180059619
"9","ambient - elevated","INSP","ctrl","12",0.112668875235607,0.271308304705696,26.2278537240345,0.415279861623938,0.681314801521398
"10","ambient - elevated","LATR","ctrl","12",0.380561155495763,0.289187242606013,30.877795467925,1.31596799383795,0.197871456165709
"11","ambient - elevated","INSP","glu","12",0.0571167487803673,0.271308304705696,26.2278537240349,0.210523407465633,0.834886194622624
"12","ambient - elevated","LATR","glu","12",0.691245051715214,0.289187242606013,30.877795467925,2.39030271697345,0.02312264071796
"13","ambient - elevated","INSP","ctrl","24",-0.0552489415839204,0.271308304705696,26.2278537240348,-0.20363896211674,0.840207406579159
"14","ambient - elevated","LATR","ctrl","24",0.211846935260373,0.289187242606013,30.8777954679251,0.732559753851218,0.469351694419477
"15","ambient - elevated","INSP","glu","24",-0.143205209251703,0.271308304705696,26.2278537240349,-0.527832015341534,0.602053424912924
"16","ambient - elevated","LATR","glu","24",0.307779224758671,0.289187242606013,30.8777954679249,1.06429046449324,0.295449536043217
"17","ambient - elevated","INSP","ctrl","48",-0.2342028065998,0.271308304705697,26.2278537240348,-0.863234934344724,0.395833764932255
"18","ambient - elevated","LATR","ctrl","48",0.223122553421001,0.289187242606013,30.877795467925,0.771550471626378,0.446245474103662
"19","ambient - elevated","INSP","glu","48",0.040753366884119,0.271308304705696,26.2278537240347,0.150210539733852,0.881747733969761
"20","ambient - elevated","LATR","glu","48",0.113972614096698,0.289187242606013,30.877795467925,0.394113561406211,0.696205945917128
"21","ambient - elevated","INSP","ctrl","72",-0.404634236513008,0.271308304705697,26.2278537240348,-1.49141854301857,0.147782338152004
"22","ambient - elevated","LATR","ctrl","72",0.0724078899642874,0.289187242606013,30.877795467925,0.250384108620363,0.803948840270191
"23","ambient - elevated","INSP","glu","72",-0.247079049619851,0.271308304705696,26.2278537240348,-0.910694753291358,0.370750470102473
"24","ambient - elevated","LATR","glu","72",0.1915338213735,0.289187242606013,30.8777954679249,0.662317672271747,0.51268113331148
"25","ambient - elevated","INSP","ctrl","120",-0.220275760912375,0.271308304705696,26.2278537240347,-0.811902021028516,0.424155664027566
"26","ambient - elevated","LATR","ctrl","120",0.0631994237855468,0.289187242606013,30.877795467925,0.218541534598915,0.828445225540603
"27","ambient - elevated","INSP","glu","120",-0.208889531232675,0.271308304705696,26.2278537240348,-0.76993415833426,0.448218537743436
"28","ambient - elevated","LATR","glu","120",0.117887155095447,0.289187242606013,30.8777954679248,0.40764991578849,0.68634338467266
"29","ambient - elevated","INSP","ctrl","168",0.0149591054256892,0.271308304705696,26.2278537240347,0.0551369241789934,0.956447249700186
"30","ambient - elevated","LATR","ctrl","168",0.120118832179879,0.289187242606013,30.8777954679251,0.415366981950612,0.680745588717062
"31","ambient - elevated","INSP","glu","168",-0.172032358989585,0.271308304705696,26.2278537240348,-0.634084382990775,0.531517630883115
"32","ambient - elevated","LATR","glu","168",0.213532868137563,0.289187242606013,30.877795467925,0.738389654444331,0.465853279832508
