"","contrast","plant","amendment","time_fct","estimate","SE","df","t.ratio","p.value"
"1","ambient - elevated","INSP","ctrl","4",-0.361359824408825,2.02736847189662,18.4895887718216,-0.178240822730547,0.860472232852173
"2","ambient - elevated","LATR","ctrl","4",2.88401668278602,2.16956954207977,21.5880184879095,1.32930363689627,0.197625810476689
"3","ambient - elevated","INSP","glu","4",-0.211855066204646,2.02736847189661,18.4895887718222,-0.104497563783487,0.91789973256409
"4","ambient - elevated","LATR","glu","4",1.16371403615333,2.16956954207977,21.5880184879092,0.536380149878849,0.597180350063799
"5","ambient - elevated","INSP","ctrl","8",-0.225603262272701,2.02736847189661,18.4895887718221,-0.111278864893094,0.912594315858332
"6","ambient - elevated","LATR","ctrl","8",3.02114498618301,2.16956954207977,21.5880184879093,1.39250894132986,0.177946420606234
"7","ambient - elevated","INSP","glu","8",-0.280576519949843,2.02736847189661,18.4895887718221,-0.138394437833673,0.891424835135518
"8","ambient - elevated","LATR","glu","8",1.30087592585287,2.16956954207977,21.5880184879092,0.599600934942069,0.555013856999787
"9","ambient - elevated","INSP","ctrl","12",0.0728565695971917,2.02736847189661,18.4895887718221,0.0359365209665287,0.97171812007262
"10","ambient - elevated","LATR","ctrl","12",3.12035846132672,2.16956954207977,21.5880184879092,1.438238508057,0.164706423777273
"11","ambient - elevated","INSP","glu","12",-0.192260958714136,2.02736847189661,18.4895887718221,-0.0948327654194381,0.925467866347655
"12","ambient - elevated","LATR","glu","12",2.00546710750386,2.16956954207977,21.5880184879092,0.92436175407468,0.365515727478523
"13","ambient - elevated","INSP","ctrl","24",-0.208164804180739,2.02736847189661,18.4895887718222,-0.102677341127832,0.919324486424044
"14","ambient - elevated","LATR","ctrl","24",3.26603913381401,2.16956954207977,21.5880184879093,1.50538577836189,0.146717151604126
"15","ambient - elevated","INSP","glu","24",-0.448563157813479,2.02736847189661,18.489588771822,-0.221253888492134,0.827319840402981
"16","ambient - elevated","LATR","glu","24",2.88082428351399,2.16956954207977,21.5880184879092,1.32783219327111,0.198103526085684
"17","ambient - elevated","INSP","ctrl","48",-0.591152548689384,2.02736847189661,18.4895887718221,-0.2915861407948,0.773849218314617
"18","ambient - elevated","LATR","ctrl","48",3.89589768067312,2.16956954207977,21.5880184879092,1.795700762345,0.0865539543639276
"19","ambient - elevated","INSP","glu","48",-0.0993198755034729,2.02736847189661,18.489588771822,-0.0489895531474646,0.961452947973245
"20","ambient - elevated","LATR","glu","48",3.09647710913884,2.16956954207977,21.5880184879092,1.42723109311837,0.167818637191014
"21","ambient - elevated","INSP","ctrl","72",-1.23403580014186,2.02736847189661,18.4895887718221,-0.608688463517148,0.550136751848472
"22","ambient - elevated","LATR","ctrl","72",3.72797595193531,2.16956954207977,21.5880184879092,1.71830212382206,0.100052394405976
"23","ambient - elevated","INSP","glu","72",-0.569947897570081,2.02736847189661,18.4895887718221,-0.281126941387666,0.781734908371713
"24","ambient - elevated","LATR","glu","72",3.66795358228399,2.16956954207977,21.5880184879092,1.69063655768685,0.105295494378334
"25","ambient - elevated","INSP","ctrl","120",-1.58914258318405,2.02736847189661,18.4895887718222,-0.783844972047635,0.44305738068404
"26","ambient - elevated","LATR","ctrl","120",3.6964366598453,2.16956954207977,21.5880184879092,1.70376500414081,0.102778995277504
"27","ambient - elevated","INSP","glu","120",-0.925130836719917,2.02736847189661,18.4895887718221,-0.456321013937075,0.653473865134043
"28","ambient - elevated","LATR","glu","120",3.88779389556989,2.16956954207977,21.5880184879092,1.79196555821991,0.0871673357991752
"29","ambient - elevated","INSP","ctrl","168",-1.02484329256585,2.02736847189661,18.4895887718222,-0.505504207435517,0.619177741853941
"30","ambient - elevated","LATR","ctrl","168",4.4119755317439,2.16956954207977,21.5880184879092,2.03357184278802,0.0544684691952975
"31","ambient - elevated","INSP","glu","168",-1.44631604952579,2.02736847189661,18.489588771822,-0.713395749008939,0.484508915723256
"32","ambient - elevated","LATR","glu","168",5.36640329263484,2.16956954207977,21.5880184879092,2.47348756910117,0.0217475552656753
