"","contrast","plant","amendment","estimate","SE","df","t.ratio","p.value"
"1","ambient - elevated","INSP","ctrl",-1.0248432912263,3.12234249525019,12.8512546921695,-0.32822897961557,0.748024961592739
"2","ambient - elevated","LATR","ctrl",4.41197553015675,3.34446164422268,15.0086098421987,1.31918855693206,0.206878933166787
"3","ambient - elevated","INSP","glu",-1.44631604818643,3.12234249525019,12.8512546921694,-0.463215054205811,0.650956953266827
"4","ambient - elevated","LATR","glu",5.3664032910475,3.34446164422268,15.0086098421987,1.60456416066771,0.129421251613251
