plant,ring,treatment,rep,whc,time_fct,time_num,soc_mgC,doc_ugC,soc_mgN,soc_CN,soc_isoC,doc_isoC,ctrl_ugC.gSoil,ctrl_ugN.gSoil,glu_ugC.gSoil,glu_ugN.gSoil,ctrl_inc.hours,ctrl_raw.CO2,ctrl_raw.isoC,ctrl_bkg.CO2,ctrl_bkg.isoC,glu_amendment.isoC,glu_inc.hours,glu_raw.CO2,glu_raw.isoC,glu_bkg.CO2,glu_bkg.isoC
INSP,1,elevated,2,0.254,48,48,1,23.68,,,-24.06,-20.89,0,0,12.45,2.903,23.62,779.6126816,-11.60443755,631.3305733,-11.46353305,28815.14,23.98,1174.99,8368.681256,622.35,248.4476476
INSP,1,elevated,3,0.212,48,48,1.74,28.41,,,-22.53,-22.28,0,0,10.39,2.423,23.62,1089.225724,-12.98437882,747.5837462,-13.50327649,28815.14,23.98,1409.96,6440.054879,617.55,20.70734478
INSP,1,elevated,4,0.262,48,48,1.46,44.1,,,-23.37,-20.77,0,0,12.84,2.994,23.62,1121.254659,-13.28499875,889.9345702,-14.77851543,28815.14,23.98,1155.81,8220.947733,637.93,37.66502659
INSP,2,elevated,1,0.23,48,48,1.3,38.19,,,-23.09,-22.19,0,0,11.27,2.629,23.62,1028.726624,-13.06370415,549.4788495,-9.856795874,28815.14,23.98,1399.17,6947.728601,504.87,16.3311906
INSP,2,elevated,2,0.243,48,48,1.25,40.46,,,-24.07,-23.49,0,0,11.93,2.782,23.62,1249.370401,-10.3888257,590.9978398,-10.86300305,28815.14,23.98,1679.69,4471.781464,500.07,10.54887364
INSP,2,elevated,4,0.23,48,48,2.47,22.55,,,-23.45,-20.91,0,0,11.3,2.634,23.62,822.3179288,-10.56912667,625.3992889,-11.39751734,28815.14,23.98,1457.91,8102.738228,669.1,83.48635202
INSP,3,elevated,1,0.23,48,48,1.3,38.19,,,-22.45,-22.19,0,0,11.27,2.629,23.63,1125.999687,-9.252716644,793.847764,-12.61241934,28815.14,24.02,1403.96,6872.973408,417.35,14.25250049
INSP,3,elevated,2,0.243,48,48,1.25,40.46,,,-23.03,-23.49,0,0,11.93,2.782,23.63,1229.204034,-14.00655755,525.7537122,-9.052894901,28815.14,24.02,1662.91,4698.781717,537.23,10.48675264
INSP,3,elevated,4,0.23,48,48,2.47,22.55,,,-23.53,-20.91,0,0,11.3,2.634,23.63,757.0738011,-7.06035624,445.0882452,-6.78813017,28815.14,24.02,1352.42,8584.593586,551.62,8.103872214
INSP,4,ambient,2,0.236,48,48,0.88,15.38,,,-22.92,-19.39,0,0,11.55,2.692,23.58,779.6126816,-10.25359998,741.6524619,-13.13344655,28815.14,24.02,1263.71,9481.366226,453.32,-0.39927691
INSP,4,ambient,3,0.2,48,48,1.61,27.82,,,-23.39,-17.21,0,0,9.8,2.286,23.58,740.466205,-10.89423629,617.0954909,-10.89033214,28815.14,24.02,1163.01,8984.618034,467.7,18.02770154
INSP,4,ambient,4,0.243,48,48,1.16,30.99,,,-22.96,-18.22,0,0,11.91,2.777,23.58,728.6036363,-8.832487614,474.7446669,-7.740389028,28815.14,24.02,1243.33,6794.163133,507.26,116.7362782
INSP,5,ambient,2,0.255,48,48,1.3,28.41,,,-21.72,-18.3,0,0,12.48,2.909,23.62,542.3613083,-8.234087154,499.6560611,-8.866915161,28815.14,24.03,1297.27,9327.816625,498.87,2.141269312
INSP,5,ambient,3,0.249,48,48,1.41,36.13,,,-22.52,-21.29,0,0,12.21,2.846,23.62,1040.589192,-10.054843,556.5963907,-10.42822217,28815.14,24.03,1369.2,8047.413402,500.07,14.45506896
INSP,5,ambient,4,0.259,48,48,0.96,17.35,,,-23.94,-18.53,0,0,12.69,2.96,23.62,613.5367203,-8.19894976,454.5783002,-6.87331173,28815.14,24.03,962.81,9389.230321,494.08,14.67418052
INSP,6,ambient,1,0.325,48,48,1.79,35.08,,,-21.74,-18.17,0,0,15.95,3.718,23.62,790.2889934,-9.682883522,472.3721532,-8.270289317,28815.14,24.03,1650.92,9995.454954,672.7,-4.444569247
INSP,6,ambient,2,0.246,48,48,3.41,108.44,,,-21.63,-20.75,0,0,12.08,2.817,23.62,1843.685091,-14.2617473,506.7736023,-9.050055515,28815.14,24.03,2313.85,2827.157432,525.25,3.465391875
INSP,6,ambient,3,0.26,48,48,1.2,41.92,,,-22.27,-19.14,0,0,12.75,2.971,23.62,866.2094328,-9.600896271,445.0882452,-6.502771944,28815.14,24.03,1472.3,8041.405222,471.3,27.3975061
LATR,1,elevated,1,0.267,48,48,5.14,81.52,0.549,9.371,-24.74,-23.19,0,0,13.055,3.264,23.6,1063.836,-16.54,413.644,-10.47,28815.14,23.63,1363.311288,7155.8,451.9290328,45.25
LATR,1,elevated,6,0.273,48,48,2.71,27.13,0.355,7.652,-24.13,-21.66,0,0,13.349,3.337,23.63,2823.972,-22.21,402.376,-10.4,28815.14,23.67,1199.480923,2102.14,454.3561493,236.1
LATR,1,elevated,7,0.307,48,48,4.17,42.12,0.5,8.345,-24.61,-22.17,0,0,15.018,3.754,23.6,1798.54,-19.08,677.327,-15.39,28815.14,23.63,1664.273737,4680.9,455.5697076,31.26
LATR,2,elevated,1,0.355,48,48,2.86,27.56,0.364,7.873,-24.85,-22.92,0,0,17.374,4.343,23.6,944.39,-16.23,420.406,-10.69,28815.14,23.63,1535.636561,8451.04,460.4239406,30.61
LATR,2,elevated,6,0.318,48,48,2.61,21.65,0.349,7.479,-25.59,-23.33,0,0,15.576,3.894,23.6,1277.937,-18.42,593.94,-14.41,28815.14,23.63,1542.917911,6851.44,476.200198,25.33
LATR,2,elevated,7,0.362,48,48,2.37,31.79,0.332,7.13,-25.77,-23.16,0,0,17.731,4.433,23.6,924.106,-16.53,571.403,-13.67,28815.14,23.63,1681.263553,10125.17,438.5798919,40.44
LATR,3,elevated,2,0.299,48,48,2.4,18.13,0.32,7.495,-25.02,-22.53,0,0,14.635,3.659,23.6,895.935,-15.53,502.665,-12.76,28815.14,23.67,1464.036624,8773.46,462.8510571,14.37
LATR,3,elevated,5,0.232,48,48,2.9,30.46,0.346,8.371,-24.59,-21.85,0,0,11.386,2.847,23.6,1303.854,-18.19,367.444,-9.41,28815.14,23.67,1508.93828,4369.41,457.9968241,13.96
LATR,3,elevated,6,0.267,48,48,3.79,39.99,0.445,8.524,-24.88,-23.26,0,0,13.074,3.269,23.6,1069.47,-16.65,403.503,-10.27,28815.14,23.67,1349.962147,6416.9,507.7527129,12.51
LATR,4,ambient,1,0.382,48,48,3.8,76.68,0.47,8.072,-24.44,-22.02,0,0,18.696,4.674,23.58,1268.922,-15.92,633.38,-14.8,28815.14,23.62,1516.219629,6914.19,442.2205667,15.31
LATR,4,ambient,2,0.345,48,48,2.96,65.14,0.384,7.713,-24.93,-22.9,0,0,16.91,4.227,23.58,1372.592,-17.49,454.211,-11.44,28815.14,23.62,1852.375268,6645.4,437.3663336,8.01
LATR,4,ambient,6,0.283,48,48,7.73,93.07,0.754,10.258,-23.5,-21.95,0,0,13.855,3.464,23.58,1690.363,-18.05,396.742,-10.51,28815.14,23.62,1951.887046,5513.04,426.4443093,7.71
LATR,5,ambient,1,0.279,48,48,2.54,22.71,0.329,7.717,-24.47,-19.75,0,0,13.687,3.422,23.58,1019.889,-15.67,463.226,-11.75,28815.14,23.63,1397.290919,7810.53,443.4341249,4.18
LATR,5,ambient,2,0.278,48,48,5,66.16,0.567,8.817,-23.06,-21.74,0,0,13.616,3.404,23.58,3124.84,-19.74,686.342,-15.43,28815.14,23.63,2995.547152,2958.48,487.1222224,0.61
LATR,5,ambient,5,0.339,48,48,4.24,74.45,0.529,8.003,-24.57,-22.17,0,0,16.587,4.147,23.58,1576.551,-17.25,439.562,-11.14,28815.14,23.63,1425.20276,5431.79,460.4239406,13.83
LATR,6,ambient,1,0.253,48,48,1.48,12.45,0.213,6.948,-25.52,-18.7,0,0,12.368,3.092,23.58,635.633,-12.03,522.949,-12.96,28815.14,23.63,1366.951963,9071.52,511.3933876,-3.92
LATR,6,ambient,2,0.288,48,48,1.75,98.7,0.255,6.852,-25.9,-21.9,0,0,14.106,3.527,23.58,1625.006,-17.44,384.346,-9.67,28815.14,23.63,1936.110788,4379.35,467.7052902,12.16
LATR,6,ambient,6,0.297,48,48,3.72,41.22,0.45,8.25,-23.98,-21.67,0,0,14.538,3.634,23.58,1043.69,-14.5,366.317,-9.06,28815.14,23.63,1405.785827,6592.44,510.1798294,5.67
INSP,1,elevated,2,0.254,72,72,1,23.68,,,-24.06,-20.89,0,0,12.45,2.903,21.52,647.68,-10.29191928,471.1858963,-7.162574112,28815.14,21.68,864.51,5545.540539,525.25,238.5872897
INSP,1,elevated,3,0.212,72,72,1.74,28.41,,,-22.53,-22.28,0,0,10.39,2.423,21.52,849.83,-12.09897464,507.9598592,-7.140568875,28815.14,21.68,1068.3,3836.1395,634.34,35.44791469
INSP,1,elevated,4,0.262,72,72,1.46,44.1,,,-23.37,-20.77,0,0,12.84,2.994,21.52,794.59,-11.77986873,498.4698042,-8.532932461,28815.14,21.68,965.2,5452.221634,567.2,45.13237561
INSP,2,elevated,1,0.23,72,72,1.3,38.19,,,-23.09,-22.19,0,0,11.27,2.629,21.5,765.21,-11.67992097,472.3721532,-6.145009391,28815.14,21.68,1107.86,4256.821543,460.51,84.55321262
INSP,2,elevated,2,0.243,72,72,1.25,40.46,,,-24.07,-23.49,0,0,11.93,2.782,21.5,1051.97,-13.78100444,558.9689044,-9.467800083,28815.14,21.68,1403.96,2833.116321,466.51,72.80289093
INSP,2,elevated,4,0.23,72,72,2.47,22.55,,,-23.45,-20.91,0,0,11.3,2.634,21.5,686.46,-9.58828711,509.146116,0.075019115,28815.14,21.68,962.81,5684.130796,468.9,173.9676103
INSP,3,elevated,1,0.23,72,72,1.3,38.19,,,-22.45,-22.19,0,0,11.27,2.629,21.52,858.05,-11.66320244,554.223877,-9.204447093,28815.14,21.67,1117.45,4176.823879,367,73.71141052
INSP,3,elevated,2,0.243,72,72,1.25,40.46,,,-23.03,-23.49,0,0,11.93,2.782,21.52,1101.34,-14.26148055,572.0177299,-8.837456538,28815.14,21.67,1179.79,2633.311223,414.96,63.11201535
INSP,3,elevated,4,0.23,72,72,2.47,22.55,,,-23.53,-20.91,0,0,11.3,2.634,21.52,659.43,-7.883723631,477.1171806,-7.530274513,28815.14,21.67,908.84,5375.170856,460.51,92.93583351
INSP,4,ambient,2,0.236,72,72,0.88,15.38,,,-22.92,-19.39,0,0,11.55,2.692,21.48,436.13,-5.278176599,567.2727025,-9.826272482,28815.14,21.67,810.76,6346.426797,471.3,163.8209557
INSP,4,ambient,3,0.2,72,72,1.61,27.82,,,-23.39,-17.21,0,0,9.8,2.286,21.48,633.57,-9.778369562,466.68,-5.624904436,28815.14,21.67,782.4,5488.388092,410.16,175.2073293
INSP,4,ambient,4,0.243,72,72,1.16,30.99,,,-22.96,-18.22,0,0,11.91,2.777,21.48,667.66,-8.911186521,544.25,-9.788182614,28815.14,21.67,830.85,5132.612879,434.14,140.4978973
INSP,5,ambient,2,0.255,72,72,1.3,28.41,,,-21.72,-18.3,0,0,12.48,2.909,21.48,581.86,-8.687667003,547.78,-10.39259393,28815.14,21.67,729.22,6233.91765,429.34,52.4964147
INSP,5,ambient,3,0.249,72,72,1.41,36.13,,,-22.52,-21.29,0,0,12.21,2.846,21.48,829.85,-9.237561362,503.12,-8.876659116,28815.14,21.67,862.75,4956.001854,472.5,46.8207838
INSP,5,ambient,4,0.259,72,72,0.96,17.35,,,-23.94,-18.53,0,0,12.69,2.96,21.48,564.23,-8.279153282,483.14,-6.910777696,28815.14,21.67,777.67,7024.208835,448.52,113.9172004
INSP,6,ambient,1,0.325,72,72,1.79,35.08,,,-21.74,-18.17,0,0,15.95,3.718,21.45,670.01,-9.14960734,460.81,-7.526819295,28815.14,21.67,1041.19,7766.692601,455.72,102.6739751
INSP,6,ambient,2,0.246,72,72,3.41,108.44,,,-21.63,-20.75,0,0,12.08,2.817,21.45,1267.05,-7.316747292,443.18,-7.486476748,28815.14,21.67,1710.03,1697.719443,450.92,34.62717477
INSP,6,ambient,3,0.26,72,72,1.2,41.92,,,-22.27,-19.14,0,0,12.75,2.971,21.45,780.48,-8.785797523,454.93,-5.361769264,28815.14,21.67,1053.01,5620.364608,454.52,68.78562057
LATR,1,elevated,1,0.267,72,72,5.14,81.52,0.549,9.371,-24.74,-23.19,0,0,13.055,3.264,23.55,1126.03,-15.67,410.484,-9.57,28815.14,23.62,1064.775955,4929.79,421.5900762,435.77
LATR,1,elevated,6,0.273,72,72,2.71,27.13,0.355,7.652,-24.13,-21.66,0,0,13.349,3.337,23.55,2739.198,-20.33,435.998,-10.24,28815.14,23.62,2158.19195,1396.67,443.4341249,319.04
LATR,1,elevated,7,0.307,72,72,4.17,42.12,0.5,8.345,-24.61,-22.17,0,0,15.018,3.754,23.55,1672.257,-18.04,449.915,-10.74,28815.14,23.62,1354.81638,2989.69,417.9494014,272.1
LATR,2,elevated,1,0.355,72,72,2.86,27.56,0.364,7.873,-24.85,-22.92,0,0,17.374,4.343,23.55,1058.767,-15.9,419.762,-10.11,28815.14,23.62,1135.162335,6809.47,427.6578675,522.03
LATR,2,elevated,6,0.318,72,72,2.61,21.65,0.349,7.479,-25.59,-23.33,0,0,15.576,3.894,23.55,1420.599,-18.4,438.318,-10.5,28815.14,23.62,1376.660429,5069.32,447.0747997,247.04
LATR,2,elevated,7,0.362,72,72,2.37,31.79,0.332,7.13,-25.77,-23.16,0,0,17.731,4.433,23.55,1050.649,-16.74,431.359,-9.81,28815.14,23.62,1182.491107,7699.97,414.3087266,372.95
LATR,3,elevated,2,0.299,72,72,2.4,18.13,0.32,7.495,-25.02,-22.53,0,0,14.635,3.659,23.55,1006.579,-15.62,461.512,-12.39,28815.14,23.6,1041.718348,6489.15,459.2103823,510.83
LATR,3,elevated,5,0.232,72,72,2.9,30.46,0.346,8.371,-24.59,-21.85,0,0,11.386,2.847,23.55,1315.064,-17.41,391.929,-8.64,28815.14,23.6,1251.07,2846.62,393.6782362,265.77
LATR,3,elevated,6,0.267,72,72,3.79,39.99,0.445,8.524,-24.88,-23.26,0,0,13.074,3.269,23.55,1144.586,-12.64,527.616,-12.32,28815.14,23.6,1135.162335,4900.2,511.3933876,335.25
LATR,4,ambient,1,0.382,72,72,3.8,76.68,0.47,8.072,-24.44,-22.02,0,0,18.696,4.674,23.47,1406.682,-15.98,728.247,-15.46,28815.14,23.6,1184.75,4762.37,386.3968866,849.04
LATR,4,ambient,2,0.345,72,72,2.96,65.14,0.384,7.713,-24.93,-22.9,0,0,16.91,4.227,23.47,1391.606,-15.93,429.04,-10.06,28815.14,23.6,1430.74,4314.68,461.6374989,540.93
LATR,4,ambient,6,0.283,72,72,7.73,93.07,0.754,10.258,-23.5,-21.95,0,0,13.855,3.464,23.47,1858.972,-17.73,506.741,-11.92,28815.14,23.6,1550.11,4254.84,380.3290953,865.84
LATR,5,ambient,1,0.279,72,72,2.54,22.71,0.329,7.717,-24.47,-19.75,0,0,13.687,3.422,23.47,1272.155,-16.06,819.865,-16.32,28815.14,23.63,1154.61,5703.32,415.5222849,745.49
LATR,5,ambient,2,0.278,72,72,5,66.16,0.567,8.817,-23.06,-21.74,0,0,13.616,3.404,23.47,2894.6,-18.48,542.692,-12.8,28815.14,23.63,1856.38,1634.77,455.5697076,494.46
LATR,5,ambient,5,0.339,72,72,4.24,74.45,0.529,8.003,-24.57,-22.17,0,0,16.587,4.147,23.47,1535.411,-16.8,495.144,-11.62,28815.14,23.63,1422.29,3894.45,399.7460275,753.13
LATR,6,ambient,1,0.253,72,72,1.48,12.45,0.213,6.948,-25.52,-18.7,0,0,12.368,3.092,23.47,593.72,-11.83,411.644,-9.31,28815.14,23.63,785.63,8029.49,432.5121006,959.19
LATR,6,ambient,2,0.288,72,72,1.75,98.7,0.255,6.852,-25.9,-21.9,0,0,14.106,3.527,23.47,1625.869,-16.19,382.651,-8.79,28815.14,23.63,1636.93,2987.06,450.7154745,657.93
LATR,6,ambient,6,0.297,72,72,3.72,41.22,0.45,8.25,-23.98,-21.67,0,0,14.538,3.634,23.47,1099.357,-14.68,397.727,-9.06,28815.14,23.63,1208.87,5158.6,421.5900762,842.53
INSP,1,elevated,2,0.254,120,120,1,23.68,,,-24.06,-20.89,0,0,12.45,2.903,25.58,705.27,-10.40495111,443.18,-6.785025252,28815.14,25.52,787.88,3606.742552,456.25,121.3640224
INSP,1,elevated,3,0.212,120,120,1.74,28.41,,,-22.53,-22.28,0,0,10.39,2.423,25.58,882.73,-11.68210165,472.56,-7.66347513,28815.14,25.52,1065.87,2802.184807,478.7,33.70202728
INSP,1,elevated,4,0.262,120,120,1.46,44.1,,,-23.37,-20.77,0,0,12.84,2.994,25.58,820.44,-10.99264389,451.4,-6.814464408,28815.14,25.52,916.58,4251.957839,439.7,160.6558373
INSP,2,elevated,1,0.23,120,120,1.3,38.19,,,-23.09,-22.19,0,0,11.27,2.629,25.57,917.99,-12.12405244,438.48,-6.953664368,28815.14,25.52,1173.98,2735.686817,502.33,84.57175886
INSP,2,elevated,2,0.243,120,120,1.25,40.46,,,-24.07,-23.49,0,0,11.93,2.782,25.57,1050.8,-13.43173248,460.81,-7.543537828,28815.14,25.52,1435.24,2022.552797,470.43,94.17613251
INSP,2,elevated,4,0.23,120,120,2.47,22.55,,,-23.45,-20.91,0,0,11.3,2.634,25.57,738.17,-9.361496574,446.7,-6.65200388,28815.14,25.52,865.1,3984.659249,464.52,169.775002
INSP,3,elevated,1,0.23,120,120,1.3,38.19,,,-22.45,-22.19,0,0,11.27,2.629,25.55,933.27,-11.62104266,445.53,-6.616749582,28815.14,25.52,1113.49,2686.420927,472.57,37.78419
INSP,3,elevated,2,0.243,120,120,1.25,40.46,,,-23.03,-23.49,0,0,11.93,2.782,25.55,1175.38,-14.23676619,478.44,-7.45522036,28815.14,25.52,1413.36,1989.666495,484.15,42.21725587
INSP,3,elevated,4,0.23,120,120,2.47,22.55,,,-23.53,-20.91,0,0,11.3,2.634,25.55,729.95,-8.032373196,452.58,-7.363995321,28815.14,25.52,881.83,4265.044826,481.57,50.93457326
INSP,4,ambient,2,0.236,120,120,0.88,15.38,,,-22.92,-19.39,0,0,11.55,2.692,25.53,668.83,-9.35895245,451.4,-6.978742168,28815.14,25.52,832.92,4924.426837,485.44,92.76775355
INSP,4,ambient,3,0.2,120,120,1.61,27.82,,,-23.39,-17.21,0,0,9.8,2.286,25.53,612.42,-8.969701387,460.81,-6.974380811,28815.14,25.52,822.63,4019.123783,488.01,58.59217236
INSP,4,ambient,4,0.243,120,120,1.16,30.99,,,-22.96,-18.22,0,0,11.91,2.777,25.53,746.4,-8.653139598,465.51,-7.142293034,28815.14,25.52,941.03,3948.946475,444.25,22.55073958
INSP,5,ambient,2,0.255,120,120,1.3,28.41,,,-21.72,-18.3,0,0,12.48,2.909,25.53,613.59,-8.296235262,461.98,-6.521526633,28815.14,25.5,835.5,5391.136982,441.68,-3.616227498
INSP,5,ambient,3,0.249,120,120,1.41,36.13,,,-22.52,-21.29,0,0,12.21,2.846,25.53,862.75,-9.23974204,459.63,-6.769397058,28815.14,25.5,1010.53,3959.550665,516.32,24.2784541
INSP,5,ambient,4,0.259,120,120,0.96,17.35,,,-23.94,-18.53,0,0,12.69,2.96,25.53,599.49,-7.917524143,485.49,-5.697957157,28815.14,25.5,856.09,4960.466268,648.88,39.12885773
INSP,6,ambient,1,0.325,120,120,1.79,35.08,,,-21.74,-18.17,0,0,15.95,3.718,25.5,753.45,-9.401112229,463.16,-6.605482745,28815.14,25.5,1096.76,5896.666984,526.62,37.94334794
INSP,6,ambient,2,0.246,120,120,3.41,108.44,,,-21.63,-20.75,0,0,12.08,2.817,25.5,1404.56,-12.32576517,452.58,-6.567320876,28815.14,25.5,1876.68,1140.345996,566.52,19.91879441
INSP,6,ambient,3,0.26,120,120,1.2,41.92,,,-22.27,-19.14,0,0,12.75,2.971,25.5,879.21,-10.13781802,440.83,-6.14826721,28815.14,25.5,1155.96,3875.010771,565.23,51.10641045
LATR,1,elevated,1,0.267,120,120,5.14,81.52,0.549,9.371,-24.74,-23.19,0,0,13.055,3.264,23.33,1015.857,-15.29,412.804,-9.49,28815.14,23.67,905.01,3584.77,435.95,190.09
LATR,1,elevated,6,0.273,120,120,2.71,27.13,0.355,7.652,-24.13,-21.66,0,0,13.349,3.337,23.33,2455.067,-20.9,442.956,-10.5,28815.14,23.67,1431.94,840.6,455.25,166.23
LATR,1,elevated,7,0.307,120,120,4.17,42.12,0.5,8.345,-24.61,-22.17,0,0,15.018,3.754,23.33,1672.257,-17.85,442.956,-10.34,28815.14,23.67,1305.33,2289.72,452.84,125.95
LATR,2,elevated,1,0.355,120,120,2.86,27.56,0.364,7.873,-24.85,-22.92,0,0,17.374,4.343,23.33,1138.911,-16.65,492.824,0.2,28815.14,23.67,1044.88,5303.1,464.89,152.19
LATR,2,elevated,6,0.318,120,120,2.61,21.65,0.349,7.479,-25.59,-23.33,0,0,15.576,3.894,23.33,1493.869,-18.67,456.873,-10.8,28815.14,23.67,1252.28,3227.49,450.42,114.58
LATR,2,elevated,7,0.362,120,120,2.37,31.79,0.332,7.13,-25.77,-23.16,0,0,17.731,4.433,23.33,1052.935,-16.96,422.081,-9.97,28815.14,23.67,1023.18,5930.13,457.66,252.66
LATR,3,elevated,2,0.299,120,120,2.4,18.13,0.32,7.495,-25.02,-22.53,0,0,14.635,3.659,23.33,963.275,-15.34,463.831,-11.38,28815.14,23.68,902.6,4832.38,451.63,399.56
LATR,3,elevated,5,0.232,120,120,2.9,30.46,0.346,8.371,-24.59,-21.85,0,0,11.386,2.847,23.33,1317.004,-17.31,394.248,-9.43,28815.14,23.68,1202.84,2112.59,444.39,199.49
LATR,3,elevated,6,0.267,120,120,3.79,39.99,0.445,8.524,-24.88,-23.26,0,0,13.074,3.269,23.33,1089.782,-15.52,432.519,-9.22,28815.14,23.68,1014.74,3360.61,446.81,278.87
LATR,4,ambient,1,0.382,120,120,3.8,76.68,0.47,8.072,-24.44,-22.02,0,0,18.696,4.674,23.33,1294.896,-11.3,691.136,-14.89,28815.14,23.68,1073.82,3307.2,474.54,183.36
LATR,4,ambient,2,0.345,120,120,2.96,65.14,0.384,7.713,-24.93,-22.9,0,0,16.91,4.227,23.33,1385.785,-16.72,412.804,-9.79,28815.14,23.68,1395.77,3229.37,445.6,235.98
LATR,4,ambient,6,0.283,120,120,7.73,93.07,0.754,10.258,-23.5,-21.95,0,0,13.855,3.464,23.33,1686.701,-17.46,512.539,-12.48,28815.14,23.68,1446.41,3168.66,428.72,329.82
LATR,5,ambient,1,0.279,120,120,2.54,22.71,0.329,7.717,-24.47,-19.75,0,0,13.687,3.422,23.33,1109.434,-15.45,458.033,-10.88,28815.14,23.68,1117.23,4464.04,491.42,321.92
LATR,5,ambient,2,0.278,120,120,5,66.16,0.567,8.817,-23.06,-21.74,0,0,13.616,3.404,23.33,2540.32,-17.53,622.713,-13.78,28815.14,23.68,2316.99,1195.82,468.51,193.97
LATR,5,ambient,5,0.339,120,120,4.24,74.45,0.529,8.003,-24.57,-22.17,0,0,16.587,4.147,23.33,1525.803,-13,482.387,-11.11,28815.14,23.68,1210.07,2639.44,476.95,351.3
LATR,6,ambient,1,0.253,120,120,1.48,12.45,0.213,6.948,-25.52,-18.7,0,0,12.368,3.092,23.33,577.611,-9.82,429.04,-10.29,28815.14,23.68,678.32,6412.29,543.27,363.08
LATR,6,ambient,2,0.288,120,120,1.75,98.7,0.255,6.852,-25.9,-21.9,0,0,14.106,3.527,23.33,1557.737,-15.33,473.109,-9.08,28815.14,23.68,1395.77,2098.48,566.18,380.05
LATR,6,ambient,6,0.297,120,120,3.72,41.22,0.45,8.25,-23.98,-21.67,0,0,14.538,3.634,23.33,1095.923,-13.73,413.963,-9.75,28815.14,23.68,1017.15,3839.31,481.77,481.64
INSP,1,elevated,2,0.254,168,168,1,23.68,,,-24.06,-20.89,0,0,12.45,2.903,72.15,895.92,-12.93464906,479.61,-7.3810773,28815.14,71.73,1188.14,2904.591098,468.7,74.53465974
INSP,1,elevated,3,0.212,168,168,1.74,28.41,,,-22.53,-22.28,0,0,10.39,2.423,72.15,1308.38,-14.90725319,496.07,-8.095249419,28815.14,71.73,1512.46,2025.140031,535.63,26.44493737
INSP,1,elevated,4,0.262,168,168,1.46,44.1,,,-23.37,-20.77,0,0,12.84,2.994,72.15,1150.11,-12.54637793,464.33,-7.177910779,28815.14,71.73,1071.02,2622.612607,480.29,48.92257663
INSP,2,elevated,1,0.23,168,168,1.3,38.19,,,-23.09,-22.19,0,0,11.27,2.629,72.12,870.74,-11.16785378,463.16,-7.652208293,28815.14,71.73,1829.06,1833.265956,472.57,46.59426611
INSP,2,elevated,2,0.243,168,168,1.25,40.46,,,-24.07,-23.49,0,0,11.93,2.782,72.12,1144.11,-13.01833748,573.63,-10.33262528,28815.14,71.73,2321.98,1292.777597,488.01,54.41002216
INSP,2,elevated,4,0.23,168,168,2.47,22.55,,,-23.45,-20.91,0,0,11.3,2.634,72.12,1009.83,-11.52415809,513.69,-7.640941455,28815.14,71.73,1262.78,3075.906104,457.12,106.3358847
INSP,3,elevated,1,0.23,168,168,1.3,38.19,,,-22.45,-22.19,0,0,11.27,2.629,72.1,1430.68,-14.99381502,449.05,-6.562959519,28815.14,71.73,1982.21,1824.314406,463.56,8.2799111
INSP,3,elevated,2,0.243,168,168,1.25,40.46,,,-23.03,-23.49,0,0,11.93,2.782,72.1,2036.17,-17.34032318,461.98,-7.690733608,28815.14,71.73,2674.62,1291.11528,548.5,5.943926293
INSP,3,elevated,4,0.23,168,168,2.47,22.55,,,-23.53,-20.91,0,0,11.3,2.634,72.1,1122.53,-8.766032256,465.48,-8.452110914,28815.14,71.73,1283.37,3184.383753,506.03,15.06164103
INSP,4,ambient,2,0.236,168,168,0.88,15.38,,,-22.92,-19.39,0,0,11.55,2.692,72.08,862.35,-10.91247841,442.7,-7.078974429,28815.14,71.73,1104.48,3396.083836,469.99,54.35596852
INSP,4,ambient,3,0.2,168,168,1.61,27.82,,,-23.39,-17.21,0,0,9.8,2.286,72.08,940.28,-11.87112379,532.62,-9.628777178,28815.14,71.73,1105.77,3008.534247,488.01,14.94218915
INSP,4,ambient,4,0.243,168,168,1.16,30.99,,,-22.96,-18.22,0,0,11.91,2.777,72.08,1013.42,-10.08960221,491.86,-9.507375103,28815.14,71.73,1354.16,3142.589611,585.82,57.32691677
INSP,5,ambient,2,0.255,168,168,1.3,28.41,,,-21.72,-18.3,0,0,12.48,2.909,72.1,808.39,-9.973946983,424.71,-7.69119288,28815.14,71.72,1067.16,4098.555942,499.59,25.67283783
INSP,5,ambient,3,0.249,168,168,1.41,36.13,,,-22.52,-21.29,0,0,12.21,2.846,72.1,1171.69,-11.0191542,467.88,-7.944951951,28815.14,71.72,1638.58,2461.970525,554.93,3.474809371
INSP,5,ambient,4,0.259,168,168,0.96,17.35,,,-23.94,-18.53,0,0,12.69,2.96,72.1,410.32,-5.512959499,442.7,-7.694245891,28815.14,71.72,1095.47,3980.465086,531.77,5.496815932
INSP,6,ambient,1,0.325,168,168,1.79,35.08,,,-21.74,-18.17,0,0,15.95,3.718,72.08,1163.3,-12.06543894,410.32,-6.266155212,28815.14,71.72,1276.94,3900.043613,507.31,11.68395581
INSP,6,ambient,2,0.246,168,168,3.41,108.44,,,-21.63,-20.75,0,0,12.08,2.817,72.08,2939.02,-15.41153873,431.91,-7.055268698,28815.14,71.72,3367.02,770.3611709,455.83,9.153110963
